Time,Cycle,Address_Buffer, Operation_Buffer, Size_Buffer,Data_Buffer,OOO_Tag_Buffer, Index_buffer, Tag_Buffer, Offset_buffer,Stall,Hit,MSHR_Alloc, Selected_Way, Tag_Old, Tag_New, Tag_Alloc, Meta_Old, Meta_New,Meta_Alloc, Data_Old, Data_New,Data_Alloc, Instr_Q_Alloc, Instr_Q_Operation, Data_Q_Alloc, Data_Q_Operation, Data_Q_Data
              136000,         12,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,  NOOP, 128'h00000000000000000000000000000000
              146000,         13,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,  NOOP, 128'h00000000000000000000000000000000
              156000,         14,32'h00000080 ,    WR,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h004 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h12_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h1,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              166000,         15,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              176000,         16,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              186000,         17,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              196000,         18,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              206000,         19,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              216000,         20,32'h00000180 ,    WR,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h00c ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h12_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h1,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              226000,         21,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              236000,         22,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              246000,         23,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              256000,         24,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              266000,         25,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              276000,         26,32'h00000180 ,    WR,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h00c ,18'h00000 ,4'h0 ,1'h0 ,1'h1 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h12_8'h81_8'h41_8'h21,8'h12_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h1,1'h0,  NOOP,1'h0,  NOOP, 128'h00000000000000000000000000000000
              286000,         27,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,  NOOP, 128'h00000000000000000000000000000000
              296000,         28,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,  NOOP, 128'h00000000000000000000000000000000
              306000,         29,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,  NOOP, 128'h00000000000000000000000000000000
              316000,         30,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,  NOOP, 128'h00000000000000000000000000000000
              326000,         31,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,  NOOP, 128'h00000000000000000000000000000000
              336000,         32,32'h00000200 ,    WR,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h010 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h12_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h1,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              346000,         33,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              356000,         34,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              366000,         35,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              376000,         36,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              386000,         37,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
              396000,         38,32'h00000000 ,    LD,     1B,128'h00000000000000000000000000000000 ,10'h000 ,9'h000 ,18'h00000 ,4'h0 ,1'h0 ,1'h0 ,1'h0 ,4'h8 ,18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000 ,1'h0, 8'h1b_8'h81_8'h41_8'h21,8'h1b_8'h81_8'h41_8'h21,1'h1,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000_128'h00000000000000000000000000000000,1'h0,1'h0,  NOOP,1'h0,   INV, 128'h00000000000000000000000000000000
